,State Code,State,Zip Code,City,Year,Price,% Increase,Latitude,Longitude
31,TX,Texas,78572,Mission,68200,107600,157.77,26.2159,-98.3253
32,CA,California,94565,Pittsburg,173600,426300,245.56,38.0031,-121.9172
33,TX,Texas,79912,El Paso,123800,187600,151.53,31.8383,-106.5364
34,GA,Georgia,30349,Riverdale,114400,130300,113.9,33.6053,-84.4813
35,CA,California,90046,Los Angeles,398100,1518800,381.51,34.1074,-118.3652
36,DC,Washington D.C.,20009,Washington,155500,556000,357.56,38.9202,-77.0375
37,TX,Texas,75052,Grand Prairie,118300,217200,183.6,32.6605,-97.0311
38,TN,Tennessee,37042,Clarksville,79800,138200,173.18,36.5853,-87.4186
39,TX,Texas,77433,Cypress,164600,255400,155.16,29.8836,-95.7025
40,OK,Oklahoma,73099,Yukon,85900,166300,193.6,35.4977,-97.7323
41,NY,New York,11206,New York,192600,739100,383.75,40.7012,-73.9436
42,TX,Texas,77429,Cypress,156800,247200,157.65,29.9766,-95.6358
43,NY,New York,10003,New York,505500,1635700,323.58,40.7313,-73.9892
44,TX,Texas,77479,Sugar Land,238100,369400,155.14,29.5785,-95.6066
45,GA,Georgia,30044,Lawrenceville,129800,197000,151.77,33.9418,-84.0706
46,MO,Missouri,63376,Saint Peters,120200,203300,169.13,38.7802,-90.6228
47,IL,Illinois,60613,Chicago,151700,229300,151.15,41.9543,-87.6575
48,NY,New York,10463,New York,191300,706400,369.26,40.8798,-73.9067
49,GA,Georgia,30043,Lawrenceville,152200,237600,156.11,34.0031,-84.0126
50,NY,New York,11212,New York,143800,458900,319.12,40.6625,-73.9145
51,NY,New York,11230,New York,295200,1120200,379.47,40.6225,-73.965
52,IL,Illinois,60625,Chicago,162700,295600,181.68,41.9703,-87.7042
53,NY,New York,11209,New York,309400,998700,322.79,40.6251,-74.0303
54,IL,Illinois,60629,Chicago,105900,170000,160.53,41.7781,-87.7069
55,NC,North Carolina,28277,Charlotte,201800,352700,174.78,35.0552,-80.8195
56,NJ,New Jersey,7030,Hoboken,227600,720600,316.61,40.7445,-74.0329
57,TX,Texas,78245,San Antonio,96400,175700,182.26,29.4189,-98.6895
58,TX,Texas,75287,Dallas,186100,322800,173.46,33.0005,-96.8314
59,TX,Texas,78704,Austin,248600,539200,216.89,30.2428,-97.7658
60,AZ,Arizona,85032,Phoenix,115000,269700,234.52,33.6238,-112.0044
61,IL,Illinois,60610,Chicago,175100,297000,169.62,41.9033,-87.6336
62,NY,New York,11221,New York,159500,982700,616.11,40.6907,-73.9274
63,FL,Florida,33160,Sunny Isles Beach,122800,342100,278.58,25.9449,-80.1391
64,VA,Virginia,23464,Virginia Beach,118900,256000,215.31,36.7978,-76.1759
65,TX,Texas,77077,Houston,190300,303500,159.49,29.7477,-95.603
66,GA,Georgia,30096,Duluth,138600,234700,169.34,33.9845,-84.1529
67,MD,Maryland,21234,Parkville,103200,210700,204.17,39.3876,-76.5418
68,TX,Texas,75243,Dallas,100300,221800,221.14,32.9103,-96.7285
69,WA,Washington,98052,Redmond,269600,820100,304.19,47.6718,-122.1232
70,NY,New York,11214,New York,228600,711300,311.15,40.6016,-73.9968
71,TX,Texas,78521,Brownsville,56800,74700,131.51,25.9221,-97.4612
72,CA,California,94501,Alameda,328500,983100,299.27,37.7706,-122.2648
73,TX,Texas,77379,Spring,172200,252100,146.4,30.0377,-95.5326
74,NJ,New Jersey,8701,Lakewood,134200,329400,245.45,40.085,-74.2042
75,NY,New York,10019,New York,413100,1231300,298.06,40.7651,-73.9858
76,TX,Texas,78666,San Marcos,111600,207700,186.11,29.8754,-97.9404
77,GA,Georgia,30024,Suwanee,215900,357000,165.35,34.0425,-84.0262
78,NY,New York,11229,New York,231800,772200,333.13,40.6011,-73.9475
79,FL,Florida,33411,Royal Palm Beach,122900,293700,238.97,26.6644,-80.1741
80,TX,Texas,78745,Austin,135300,314700,232.59,30.2063,-97.7956
81,IL,Illinois,60619,Chicago,90600,130300,143.82,41.7458,-87.6054
82,CA,California,94110,San Francisco,408100,1539000,377.11,37.7509,-122.4153
83,FL,Florida,33025,Miramar,96100,241700,251.51,25.9921,-80.2712
84,CA,California,90034,Los Angeles,298900,1293200,432.65,34.029,-118.4005
85,FL,Florida,33139,Miami Beach,123400,330900,268.15,25.7873,-80.1564
86,OH,Ohio,44107,Lakewood,112200,188100,167.65,41.4847,-81.8018
87,NC,North Carolina,28027,Concord,137000,230900,168.54,35.4141,-80.6162
88,TX,Texas,75067,Lewisville,134000,254300,189.78,33.0198,-96.9925
89,VA,Virginia,23462,Virginia Beach,92700,199000,214.67,36.8392,-76.1522
90,NY,New York,11377,New York,221200,752800,340.33,40.745,-73.9069
91,MA,Massachusetts,2169,Quincy,176600,428800,242.81,42.2491,-70.9978
92,MI,Michigan,48197,Ypsilanti,155200,221800,142.91,42.2325,-83.6336
93,KS,Kansas,66062,Olathe,149800,261300,174.43,38.8733,-94.7752
94,OH,Ohio,44035,Elyria,91700,100700,109.81,41.3724,-82.1051
95,CA,California,90044,Los Angeles,134000,431700,322.16,33.9551,-118.2901
96,CA,California,95630,Folsom,224400,552700,246.3,38.6709,-121.1529
97,CA,California,90805,Long Beach,142300,466200,327.62,33.8635,-118.1801
98,AZ,Arizona,85710,Tucson,102800,175900,171.11,32.2138,-110.824
99,CA,California,90650,Norwalk,162300,483300,297.78,33.9056,-118.0818
100,IL,Illinois,60611,Chicago,211000,352200,166.92,41.8971,-87.6223
101,CA,California,92683,Westminster,220900,677700,306.79,33.7524,-117.9939
102,NY,New York,11234,New York,202800,617200,304.34,40.6205,-73.9239
103,NY,New York,11355,New York,208200,746200,358.41,40.7536,-73.8226
104,TN,Tennessee,37075,Hendersonville,154000,285400,185.32,36.3054,-86.6072
105,NY,New York,10314,New York,183400,530900,289.48,40.6039,-74.1472
106,GA,Georgia,30281,Stockbridge,122900,164400,133.77,33.5633,-84.2165
107,NY,New York,11211,New York,169000,963700,570.24,40.7095,-73.9563
108,NY,New York,11215,New York,225200,1252100,555.99,40.6669,-73.9828
109,CA,California,90026,Los Angeles,180800,946500,523.51,34.0766,-118.2646
110,FL,Florida,32210,Jacksonville,69600,138400,198.85,30.2687,-81.7473
111,CA,California,94558,Napa,267500,674000,251.96,38.4549,-122.2564
112,AZ,Arizona,85225,Chandler,122400,261500,213.64,33.3105,-111.8239
113,CO,Colorado,80134,Parker,230300,469400,203.82,39.4895,-104.8447
114,NM,New Mexico,87114,Albuquerque,148500,227400,153.13,35.1868,-106.6652
115,CA,California,91910,Chula Vista,200400,536900,267.91,32.6371,-117.0676
116,CT,Connecticut,6010,Bristol,127600,186800,146.39,41.6823,-72.9302
117,CA,California,93722,Fresno,107300,252000,234.86,36.7918,-119.8801
118,TX,Texas,78240,San Antonio,104000,188600,181.35,29.5189,-98.6006
119,OH,Ohio,43081,Westerville,140300,225600,160.8,40.1146,-82.9105
120,PA,Pennsylvania,17603,Lancaster,90700,163900,180.71,40.0091,-76.3671
121,NV,Nevada,89108,Las Vegas,111300,226900,203.86,36.2044,-115.2233
