RegionID,ZIP,City,State,Metro,CountyName,SizeRank,MedianHome,GrowthRate(1996),GrowthRate(2000),GrowthRate(2004),GrowthRate(2008),GrowthRate(2012),GrowthRate(2016)
62948,13088,Liverpool,NY,Syracuse,Onondaga County,4034,130900,1.813019391,1.815533981,1.4,1.100925147,1.161490683,1.13826087
74278,37303,Athens,TN,Athens,McMinn County,4035,128900,2.297682709,2.00466563,1.810393258,1.311291963,1.396533044,1.232313576
81305,53225,Milwaukee,WI,Milwaukee-Waukesha-West Allis,Milwaukee County,4036,127300,1.609355247,1.435174746,1.040883074,0.893333333,1.392778993,1.311019567
417435,85119,Apache Junction,AZ,Phoenix-Mesa-Scottsdale,Pinal County,4037,249700,3.302910053,1.931167827,1.668002672,1.124774775,2.194200351,1.306645735
77196,44483,Warren,OH,Youngstown-Warren-Boardman,Trumbull County,4038,70900,1.147249191,1.001412429,0.902035623,0.910141207,1.181666667,1.207836457
71681,31794,Tifton,GA,Tifton,Tift County,4039,121500,2.262569832,1.615691489,1.424384525,1.152751423,1.342541436,1.178467507
79785,49509,Wyoming,MI,Grand Rapids-Wyoming,Kent County,4040,139100,1.989985694,1.634547591,1.273809524,1.327290076,2.018867925,1.448958333
75596,40258,Louisville,KY,Louisville/Jefferson County,Jefferson County,4041,128700,1.947049924,1.439597315,1.269230769,1.181818182,1.254385965,1.207317073
60902,8005,Barnegat,NJ,New York-Newark-Jersey City,Ocean County,4042,249000,2.146551724,1.754756871,1.048862679,0.83361232,1.081668115,1.110120374
74657,38119,Memphis,TN,Memphis,Shelby County,4043,189400,1.529886914,1.317107093,1.19721871,1.149271845,1.463678516,1.308914997
78084,46304,Chesterton,IN,Chicago-Naperville-Elgin,Porter County,4044,205100,1.564454615,1.977820636,1.356481481,1.207180695,1.207180695,1.164018161
91315,76226,Lantana,TX,Dallas-Fort Worth-Arlington,Denton County,4045,411200,1.850585059,1.671544715,1.68111202,1.319217196,1.436255676,1.175865027
82475,55902,Rochester,MN,Rochester,Olmsted County,4046,299500,2.454918033,2.090020935,1.585494971,1.332888296,1.429594272,1.225450082
