State Code,State,Zip Code,City, Beginning 2000 , End 2018 ,% Increase
VA,Virginia,20147,Ashburn,220500,498600,226.12
OH,Ohio,43701,Zanesville,76100,113100,148.62
CA,California,91710,Chino,172100,489100,284.2
CA,California,90025,Los Angeles,323900,983300,303.58
CA,California,90027,Los Angeles,391600,1510400,385.7
OH,Ohio,44077,Painesville,125600,147300,117.28
NY,New York,10021,New York,619900,1533300,247.35
MN,Minnesota,55901,Rochester,120600,216500,179.52
CA,California,94544,Hayward,227400,660100,290.28
IL,Illinois,60616,Chicago,142500,276300,193.89
GA,Georgia,30004,Milton,225900,413800,183.18
SC,South Carolina,29730,Rock Hill,74800,141600,189.3
TX,Texas,77082,Houston,105300,178400,169.42
OH,Ohio,43228,Columbus,98900,126500,127.91
TN,Tennessee,37128,Murfreesboro,107600,251500,233.74
OR,Oregon,97402,Eugene,114000,251500,220.61
NC,North Carolina,27713,Durham,150100,254200,169.35
PA,Pennsylvania,19124,Philadelphia,44500,96800,217.53
AL,Alabama,35242,Hoover,243300,344900,141.76
GA,Georgia,30127,Powder Springs,138000,207000,150
FL,Florida,33313,Lauderhill,40500,83600,206.42
AR,Arkansas,71913,Hot Springs,90400,148100,163.83
CA,California,95051,Santa Clara,396700,1489800,375.55
CO,Colorado,80525,Fort Collins,174700,394300,225.7
CA,California,93727,Fresno,107100,260000,242.76
SC,South Carolina,29464,Mount Pleasant,175000,481400,275.09
NC,North Carolina,27703,Durham,125600,194400,154.78
TX,Texas,77840,College Station,117800,196900,167.15
TX,Texas,75150,Mesquite,91600,182200,198.91
CO,Colorado,80015,Aurora,191500,396800,207.21
VA,Virginia,23223,Richmond,71800,161400,224.79
CA,California,90731,Los Angeles,232900,624100,267.97
NC,North Carolina,27284,Kernersville,122300,169800,138.84
VA,Virginia,23452,Virginia Beach,104100,231800,222.67
CA,California,91335,Los Angeles,165200,550000,332.93
CA,California,95687,Vacaville,175800,428200,243.57
FL,Florida,32225,Jacksonville,110300,242700,220.04
OH,Ohio,43068,Reynoldsburg,121400,170200,140.2
WA,Washington,98115,Seattle,273600,814800,297.81
